28295,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,https://www.udemy.com/build-beautiful-html5-website/,TRUE,75,43285,525,24,All Levels,4 hours,2013-01-03T00:55:31Z,,,,,
19603,Learning Dynamic Website Design - PHP MySQL and JavaScript,https://www.udemy.com/learning-dynamic-website-design/,TRUE,50,47886,285,125,All Levels,12.5 hours,2012-06-18T16:52:34Z,,,,,
889438,ChatBots: Messenger ChatBot with API.AI and Node.JS,https://www.udemy.com/chatbots/,TRUE,50,2577,529,64,All Levels,4.5 hours,2016-06-30T16:57:08Z,,,,,
197836,Projects in HTML5,https://www.udemy.com/projects-in-html5/,TRUE,60,8777,206,75,Intermediate Level,15.5 hours,2014-06-17T05:43:50Z,,,,,
505208,Programming Foundations: HTML5 + CSS3 for Entrepreneurs 2015,https://www.udemy.com/html-css-more/,TRUE,20,23764,490,58,Beginner Level,5.5 hours,2015-10-17T04:52:25Z,,,,,
1086834,How To Make A Wordpress Website 2017 | Divi Theme Tutorial,https://www.udemy.com/how-to-make-a-wordpress-website-2017-divi-theme-tutorial/,TRUE,40,3541,202,37,Beginner Level,4 hours,2017-01-26T22:15:02Z,,,,,
1094964,Build Your Own Backend REST API using Django REST Framework,https://www.udemy.com/django-python/,TRUE,50,2669,112,72,Intermediate Level,5.5 hours,2017-04-27T19:21:11Z,,,,,
965870,Angular and Firebase - Build a Web App with Typescript,https://www.udemy.com/angular-firebase-application/,TRUE,150,1966,359,65,All Levels,5 hours,2016-09-27T21:46:03Z,,,,,
965528,Web Development Masterclass - Complete Certificate Course,https://www.udemy.com/web-development-masterclass-complete-certificate-course/,TRUE,200,4090,178,348,All Levels,19.5 hours,2016-10-12T03:14:13Z,,,,,
1078208,Spring Boot Tutorial For Beginners,https://www.udemy.com/spring-boot-tutorial-for-beginners/,TRUE,40,2578,210,39,Beginner Level,5.5 hours,2017-01-23T15:13:53Z,,,,,
642410,The Complete Bootstrap Masterclass Course - Build 4 Projects,https://www.udemy.com/bootstrapcourse/,TRUE,195,24978,540,67,All Levels,7 hours,2015-10-27T20:27:11Z,,,,,
785388,Scaling Docker on AWS,https://www.udemy.com/scaling-docker-on-aws/,TRUE,25,3133,351,63,All Levels,6 hours,2016-03-28T17:51:04Z,,,,,
1146014,Learn JavaScript for beginners,https://www.udemy.com/learn-javascript-course/,TRUE,200,15276,167,19,Beginner Level,1.5 hours,2017-03-16T20:57:12Z,,,,,
8325,HTML Tutorial: HTML & CSS for Beginners,https://www.udemy.com/learn-html5/,TRUE,20,12458,253,82,All Levels,4 hours,2011-09-09T15:28:59Z,,,,,
987064,Learn by Doing: Vue JS 2.0 the Right Way,https://www.udemy.com/learn-by-doing-vue-js-2-the-right-way/,TRUE,95,1087,220,32,Intermediate Level,3.5 hours,2016-11-07T17:53:40Z,,,,,
94428,Learn Complete Web Development From Scratch,https://www.udemy.com/learn-complete-web-development-from-scratch/,TRUE,40,14074,106,46,All Levels,12 hours,2013-10-23T09:23:00Z,,,,,
159070,Introduction to Web Development: HTML,https://www.udemy.com/webdevelopment101_html/,TRUE,20,26800,333,55,Beginner Level,3 hours,2014-02-13T20:39:33Z,,,,,
920306,Web Site for Beginners - Learn Web Building like knitting,https://www.udemy.com/web-design-for-grandmothers-with-html/,TRUE,20,9425,147,14,Beginner Level,1.5 hours,2016-08-10T00:40:59Z,,,,,
